,NAME,RA_XFIT,DEC_XFIT,M500,R500,RA_OPT,DEC_OPT,RA_BCG,DEC_BCG,REFMAG_BCG,BEST_Z,BEST_Z_ERR,BEST_Z_TYPE,IN_ZVLIM,LAMBDA_NORM,BCG_offset,BCG_offset_kpc,BCG_offset_R500,X_scaled_0,X_scaled_1,cluster,rho_m,rho_s,sigma0_m,sigma0_s,sigma1_m,sigma1_s,logM500
1256,1eRASS J030758.8-273802,46.995,-27.6345,16.37,691.0,47.00650024414063,-27.644739151000977,47.00650024414063,-27.644739151000977,18.670000076293945,0.5145800113677979,0.0090600000694394,photo_z,True,19.06999969482422,51.99553043234033,326.964952616062,0.4731764871433603,0.9304846608311123,-0.4757132032135246,21,0.7863057482853437,0.052443171500003494,0.28641497470687244,0.03633653497303371,0.796685623265696,0.058660330525575996,14.214048679411942
1257,1eRASS J030801.0-035413,47.0006,-3.904,14.2,653.0,47.0004997253418,-3.9056200981140137,46.9984016418457,-3.9063899517059326,18.52899932861328,0.5382099747657776,0.0082700001075863,photo_z,True,20.6299991607666,11.67808804097106,75.16504643195655,0.1151072686553699,1.050484969808693,-0.6616738713417268,21,0.7863057482853437,0.052443171500003494,0.28641497470687244,0.03633653497303371,0.796685623265696,0.058660330525575996,14.152288344383056
1258,1eRASS J030803.3-631857,47.0132,-63.3133,19.37,772.0,47.01530075073242,-63.31539916992188,47.01530075073242,-63.31539916992188,16.81800079345703,0.3724299967288971,0.0097200004383921,photo_z,True,42.060001373291016,8.271606828120836,43.08884641596629,0.0558145678963293,0.2086026422032655,-0.2394109052640695,29,0.7683674591614984,0.03362802018505296,0.18105607887970757,0.01800751097505023,0.7751504887970676,0.05297378891637006,14.28712962071911
1259,1eRASS J030805.4-465922,47.024,-46.9879,14.7,719.0,47.02299880981445,-46.98611831665039,47.02299880981445,-46.98611831665039,16.400999069213867,0.3197999894618988,0.0075599998235702,photo_z,True,44.18000030517578,6.870622976274568,32.38447943494893,0.0450410006049359,-0.05866891582513519,-0.6175872648590387,13,0.7672176642057348,0.02676623294413791,0.1385893625939693,0.011099567934706038,0.7562111028086147,0.0472271081186875,14.167317334748176
1260,1eRASS J030806.9-263537,47.0274,-26.5983,16.12,740.0,47.0343017578125,-26.591289520263672,47.0343017578125,-26.591289520263672,16.506999969482422,0.325080007314682,0.0003999999898951,cg_spec_z,True,40.84000015258789,33.627170588240375,160.2638942904812,0.2165728301222719,-0.03185534175945135,-0.4964478504497791,13,0.7672176642057348,0.02676623294413791,0.1385893625939693,0.011099567934706038,0.7562111028086147,0.0472271081186875,14.207365037469073
1261,1eRASS J030813.4-464837,47.0585,-46.8047,20.92,601.0,47.05780029296875,-46.814849853515625,47.05780029296875,-46.814849853515625,21.375,1.076949954032898,0.0217000003904104,photo_z,True,10.59000015258789,36.58186237183904,303.21168599831697,0.5045119567359684,3.786374267722596,-0.12552055346529434,14,0.8477470573122843,0.08494905324413453,0.3249741930961518,0.04868768922072104,0.7559181471911132,0.46594176287696043,14.320561680195237
1262,1eRASS J030817.9-364233,47.0872,-36.7089,21.25,888.0,47.070098876953125,-36.70856857299805,47.070098876953125,-36.70856857299805,13.609000205993652,0.0667300000786781,0.0009899999713525,spec_z_boot,True,41.72999954223633,49.36920057515815,63.8104729979347,0.0718586407634399,-1.3438370901243808,-0.10192645327776126,22,0.7796185827403148,0.029719068418133387,0.058439167384181694,0.00557671295981618,0.5145258786010649,0.03759685383167444,14.32735893438633
1263,1eRASS J030818.7-234144,47.0695,-23.6902,22.36,903.0,47.06779861450195,-23.56369972229004,47.06610107421875,-23.691329956054688,13.276000022888184,0.069750003516674,0.0007699999841861,spec_z_boot,True,31.3799991607666,11.919371585125022,16.04686202382852,0.0177706113220692,-1.3285005726880545,-0.024154707952093575,22,0.7796185827403148,0.029719068418133387,0.058439167384181694,0.00557671295981618,0.5145258786010649,0.03759685383167444,14.349471799214385
1264,1eRASS J030818.7-521500,47.079,-52.2519,7.76,609.0,47.06700134277344,-52.25490188598633,47.06700134277344,-52.25490188598633,15.289999961853027,0.1896899938583374,0.0045500001870095,photo_z,True,29.420000076293945,28.569520527159355,91.47540198079098,0.1502059145825796,-0.7194079703271804,-1.311989369946612,17,0.6896488034462321,0.030979097069884092,0.13050581323219265,0.012111989256484105,0.7948426512037051,0.045868388470510744,13.889861721258189
1265,1eRASS J030845.5-094300,47.1942,-9.7152,38.12,872.0,47.19810104370117,-9.714839935302734,47.19810104370117,-9.714839935302734,17.540000915527344,0.6390699744224548,0.0115499999374151,photo_z,True,109.2300033569336,13.90273605137322,97.12196078656666,0.1113783953974388,1.5626834408107582,0.8790914745637838,14,0.8477470573122843,0.08494905324413453,0.3249741930961518,0.04868768922072104,0.7559181471911132,0.46594176287696043,14.581152891966289
1266,1eRASS J030849.5-563908,47.2013,-56.6516,32.38,946.0,47.18119812011719,-56.64353942871094,47.18119812011719,-56.64353942871094,16.558000564575195,0.2885099947452545,0.0062099997885525,photo_z,True,50.52999877929688,49.24412583327752,216.16098732983735,0.2284999866065934,-0.21756924802900185,0.5864029174029729,20,0.8060645110701193,0.023697375645136944,0.06747288601185208,0.004730848016595767,0.5696095931757025,0.03984484578076819,14.510276844417355
1267,1eRASS J030854.6-261100,47.2275,-26.1843,9.53,623.0,47.2426986694336,-26.1980094909668,47.2426986694336,-26.1980094909668,16.85300064086914,0.3137499988079071,0.0076799998059868,photo_z,True,32.040000915527344,69.61461940725319,323.8901647897975,0.5198879049595465,-0.08939265142992885,-1.1158205613331253,0,0.7522910082099108,0.03744715373807393,0.179887677331679,0.020753975818955234,0.8793684739933342,0.06953296863231838,13.979092900638326
1268,1eRASS J030855.7-294718,47.2326,-29.7904,17.92,616.0,47.23419952392578,-29.789600372314453,47.23419952392578,-29.789600372314453,19.49799919128418,0.878600001335144,0.014279999770224,photo_z,True,30.96999931335449,5.767543592443757,45.38948953508127,0.0736842362582488,2.779091471361853,-0.35084818554383024,14,0.8477470573122843,0.08494905324413453,0.3249741930961518,0.04868768922072104,0.7559181471911132,0.46594176287696043,14.253338005326107
1269,1eRASS J030904.6-495829,47.2709,-49.9747,42.64,937.0,47.249698638916016,-49.96268081665039,47.249698638916016,-49.96268081665039,18.141000747680664,0.550790011882782,0.0062199998646974,photo_z,True,71.47000122070312,65.43764800923579,426.1343482633686,0.4547858572714713,1.1143703138341956,1.0877120854333056,27,0.8159500899586748,0.02280488890821352,0.12154051884013868,0.008024402492729071,0.5765262967033141,0.03452693936105758,14.629817196018516
1270,1eRASS J030907.4-333319,47.2881,-33.555,13.97,649.0,47.30770111083984,-33.56216812133789,47.30770111083984,-33.56216812133789,18.4060001373291,0.5388200283050537,0.0003999999898951,cg_spec_z,True,14.130000114440918,64.21300424995171,413.5404630521503,0.6371963991558556,1.0535830115607283,-0.682216858443715,21,0.7863057482853437,0.052443171500003494,0.28641497470687244,0.03633653497303371,0.796685623265696,0.058660330525575996,14.145196406114183
1271,1eRASS J030908.4-121922,47.2824,-12.3222,7.74,612.0,47.27949905395508,-12.325909614562988,47.27949905395508,-12.325909614562988,15.399999618530272,0.1740099936723709,0.0046000001020729,photo_z,True,16.68000030517578,16.80470472542441,50.20463464508958,0.0820337167403424,-0.7990358916825463,-1.3142960030656088,17,0.6896488034462321,0.030979097069884092,0.13050581323219265,0.012111989256484105,0.7948426512037051,0.045868388470510744,13.888740960682892
1272,1eRASS J030908.8-290455,47.2834,-29.084,17.72,785.0,47.28969955444336,-29.079160690307617,47.28969955444336,-29.079160690307617,15.654999732971191,0.2505399882793426,0.0003999999898951,cg_spec_z,True,50.880001068115234,26.38641097234116,104.6082009547182,0.1332588547193862,-0.41039275905398004,-0.36661482035476484,9,0.8093121955854173,0.024625185027192215,0.08908860410575693,0.006956838319772576,0.57824491815171,0.03885576123507787,14.248463717551033
1273,1eRASS J030909.3-320851,47.2882,-32.1465,61.91,1066.0,47.287899017333984,-32.14698028564453,47.287899017333984,-32.14698028564453,17.46500015258789,0.5390200018882751,0.006800000090152,photo_z,True,57.0099983215332,1.9510018659949089,12.567092444709347,0.0117890173027292,1.0545985396582445,1.8222728771485557,27,0.8159500899586748,0.02280488890821352,0.12154051884013868,0.008024402492729071,0.5765262967033141,0.03452693936105758,14.791760804012904
1274,1eRASS J030911.8-113145,47.2984,-11.529,12.01,732.0,47.30590057373047,-11.572469711303713,47.30590057373047,-11.572469711303713,15.104000091552734,0.0771799981594085,0.0105600003153085,photo_z,True,17.209999084472656,158.71193689009257,234.40895893142417,0.320230818212328,-1.290768747301218,-0.8644603015728974,19,0.7282101865815613,0.023972630459273114,0.06840674242639398,0.0048206388527267975,0.7870022894337322,0.040324201175625504,14.079543007402906
1275,1eRASS J030920.0-395848,47.3289,-39.9959,18.5,813.0,47.304500579833984,-40.019378662109375,47.34239959716797,-39.95846939086914,16.791000366210938,0.193900004029274,0.0046600000932812,photo_z,True,29.43000030517578,139.80441249344364,455.4961842909926,0.5602659093370143,-0.6980282283105532,-0.3056774916116303,9,0.8093121955854173,0.024625185027192215,0.08908860410575693,0.006956838319772576,0.57824491815171,0.03885576123507787,14.267171728403014
1276,1eRASS J030922.8-694911,47.3494,-69.8221,13.61,668.0,47.3114013671875,-69.81401824951172,47.3114013671875,-69.81401824951172,17.36400032043457,0.4432100057601928,0.0108899995684623,photo_z,True,20.399999618530277,55.43920611816554,320.9783565171837,0.4805065217323109,0.5680455583915159,-0.7147126998047797,21,0.7863057482853437,0.052443171500003494,0.28641497470687244,0.03633653497303371,0.796685623265696,0.058660330525575996,14.133858125203334
1277,1eRASS J030940.3-471238,47.4159,-47.2122,14.67,772.0,47.407501220703125,-47.21411895751953,47.407501220703125,-47.21411895751953,15.041999816894531,0.1165499985218048,0.0003999999898951,cg_spec_z,True,24.020000457763672,21.673564200890816,46.21803095144358,0.0598679157402118,-1.0908356315208123,-0.620210723358743,7,0.7265304836125243,0.02611425290388885,0.06289862585234833,0.0050564236365551515,0.6062230922590589,0.03148067532948159,14.166430113843283
1278,1eRASS J030941.0-364341,47.4176,-36.7283,19.2,738.0,47.421199798583984,-36.730770111083984,47.421199798583984,-36.730770111083984,17.58799934387207,0.4810099899768829,0.0086500002071261,photo_z,True,32.91999816894531,13.672751036646533,82.90899076036501,0.1123428059083536,0.7600056435154016,-0.252222673172213,29,0.7683674591614984,0.03362802018505296,0.18105607887970757,0.01800751097505023,0.7751504887970676,0.05297378891637006,14.28330122870355
1279,1eRASS J031000.6-312147,47.5031,-31.3644,16.56,699.0,47.50669860839844,-31.36751937866211,47.49100112915039,-31.379579544067383,18.332000732421875,0.4945699870586395,0.0081500001251697,photo_z,True,46.900001525878906,66.09924617269127,406.94405675688574,0.582180338707991,0.8288675292551405,-0.4600687069232307,21,0.7863057482853437,0.052443171500003494,0.28641497470687244,0.03633653497303371,0.796685623265696,0.058660330525575996,14.219060332448862
1280,1eRASS J031000.9-581934,47.5025,-58.3258,8.41,638.0,47.50510025024414,-58.32817840576172,47.50510025024414,-58.32817840576172,14.883999824523926,0.1316599994897842,0.0054299999028444,photo_z,True,11.489999771118164,9.87555956919483,23.38985893430336,0.036661220900162,-1.0141023436070402,-1.238155596565286,19,0.7282101865815613,0.023972630459273114,0.06840674242639398,0.0048206388527267975,0.7870022894337322,0.040324201175625504,13.924795995797911
1281,1eRASS J031006.7-263206,47.5282,-26.5344,17.65,613.0,47.53749847412109,-26.53454971313477,47.553001403808594,-26.529800415039062,19.79599952697754,0.8801100254058838,0.0208400003612041,photo_z,True,18.32999992370605,81.58029309576268,642.355352058339,1.0478880131457406,2.786759843589118,-0.37215663841472624,14,0.8477470573122843,0.08494905324413453,0.3249741930961518,0.04868768922072104,0.7559181471911132,0.46594176287696043,14.246744709723842
1282,1eRASS J031011.6-203632,47.5496,-20.608,12.51,664.0,47.550201416015625,-20.60965919494629,47.550201416015625,-20.60965919494629,17.886999130249023,0.3855800032615661,0.0115099996328353,photo_z,True,23.86000061035156,6.303008854574166,33.55854234037352,0.0505399734041769,0.27538246832489216,-0.8166967995127355,21,0.7863057482853437,0.052443171500003494,0.28641497470687244,0.03633653497303371,0.796685623265696,0.058660330525575996,14.09725730969342
